"CountryName","CountryCode","region","income"
"Afghanistan","AFG","southasia","low"
"Albania","ALB","europecentralasia","uppermiddle"
"Algeria","DZA","middleeastnafrica","lowermiddle"
"American Samoa","ASM","eastasia_pacific","uppermiddle"
"Andorra","AND","europecentralasia","high"
"Angola","AGO","subsaharianafrica","lowermiddle"
"Antigua and Barbuda","ATG","latinamericacaribbean","high"
"Argentina","ARG","latinamericacaribbean","uppermiddle"
"Armenia","ARM","europecentralasia","uppermiddle"
"Aruba","ABW","latinamericacaribbean","high"
"Australia","AUS","eastasia_pacific","high"
"Austria","AUT","europecentralasia","high"
"Azerbaijan","AZE","europecentralasia","uppermiddle"
"Bahamas, The","BHS","latinamericacaribbean","high"
"Bahrain","BHR","middleeastnafrica","high"
"Bangladesh","BGD","southasia","lowermiddle"
"Barbados","BRB","latinamericacaribbean","high"
"Belarus","BLR","europecentralasia","uppermiddle"
"Belgium","BEL","europecentralasia","high"
"Belize","BLZ","latinamericacaribbean","lowermiddle"
"Benin","BEN","subsaharianafrica","lowermiddle"
"Bermuda","BMU","northamerica","high"
"Bhutan","BTN","southasia","lowermiddle"
"Bolivia","BOL","latinamericacaribbean","lowermiddle"
"Bosnia and Herzegovina","BIH","europecentralasia","uppermiddle"
"Botswana","BWA","subsaharianafrica","uppermiddle"
"Brazil","BRA","latinamericacaribbean","uppermiddle"
"British Virgin Islands","VGB","latinamericacaribbean","high"
"Brunei Darussalam","BRN","eastasia_pacific","high"
"Bulgaria","BGR","europecentralasia","uppermiddle"
"Burkina Faso","BFA","subsaharianafrica","low"
"Burundi","BDI","subsaharianafrica","low"
"Cabo Verde","CPV","subsaharianafrica","lowermiddle"
"Cambodia","KHM","eastasia_pacific","lowermiddle"
"Cameroon","CMR","subsaharianafrica","lowermiddle"
"Canada","CAN","northamerica","high"
"Cayman Islands","CYM","latinamericacaribbean","high"
"Central African Republic","CAF","subsaharianafrica","low"
"Chad","TCD","subsaharianafrica","low"
"Channel Islands","CHI","europecentralasia","high"
"Chile","CHL","latinamericacaribbean","high"
"China","CHN","eastasia_pacific","uppermiddle"
"Colombia","COL","latinamericacaribbean","uppermiddle"
"Comoros","COM","subsaharianafrica","lowermiddle"
"Congo, Dem. Rep.","COD","subsaharianafrica","low"
"Congo, Rep.","COG","subsaharianafrica","lowermiddle"
"Costa Rica","CRI","latinamericacaribbean","uppermiddle"
"Cote d'Ivoire","CIV","subsaharianafrica","lowermiddle"
"Croatia","HRV","europecentralasia","high"
"Cuba","CUB","latinamericacaribbean","uppermiddle"
"Curacao","CUW","latinamericacaribbean","high"
"Cyprus","CYP","europecentralasia","high"
"Czech Republic","CZE","europecentralasia","high"
"Denmark","DNK","europecentralasia","high"
"Djibouti","DJI","middleeastnafrica","lowermiddle"
"Dominica","DMA","latinamericacaribbean","uppermiddle"
"Dominican Republic","DOM","latinamericacaribbean","uppermiddle"
"Ecuador","ECU","latinamericacaribbean","uppermiddle"
"Egypt, Arab Rep.","EGY","middleeastnafrica","lowermiddle"
"El Salvador","SLV","latinamericacaribbean","lowermiddle"
"Equatorial Guinea","GNQ","subsaharianafrica","uppermiddle"
"Eritrea","ERI","subsaharianafrica","low"
"Estonia","EST","europecentralasia","high"
"Eswatini","SWZ","subsaharianafrica","lowermiddle"
"Ethiopia","ETH","subsaharianafrica","low"
"Faroe Islands","FRO","europecentralasia","high"
"Fiji","FJI","eastasia_pacific","uppermiddle"
"Finland","FIN","europecentralasia","high"
"France","FRA","europecentralasia","high"
"French Polynesia","PYF","eastasia_pacific","high"
"Gabon","GAB","subsaharianafrica","uppermiddle"
"Gambia, The","GMB","subsaharianafrica","low"
"Georgia","GEO","europecentralasia","uppermiddle"
"Germany","DEU","europecentralasia","high"
"Ghana","GHA","subsaharianafrica","lowermiddle"
"Gibraltar","GIB","europecentralasia","high"
"Greece","GRC","europecentralasia","high"
"Greenland","GRL","europecentralasia","high"
"Grenada","GRD","latinamericacaribbean","uppermiddle"
"Guam","GUM","eastasia_pacific","high"
"Guatemala","GTM","latinamericacaribbean","uppermiddle"
"Guinea","GIN","subsaharianafrica","low"
"Guinea-Bissau","GNB","subsaharianafrica","low"
"Guyana","GUY","latinamericacaribbean","uppermiddle"
"Haiti","HTI","latinamericacaribbean","lowermiddle"
"Honduras","HND","latinamericacaribbean","lowermiddle"
"Hong Kong SAR, China","HKG","eastasia_pacific","high"
"Hungary","HUN","europecentralasia","high"
"Iceland","ISL","europecentralasia","high"
"India","IND","southasia","lowermiddle"
"Indonesia","IDN","eastasia_pacific","lowermiddle"
"Iran, Islamic Rep.","IRN","middleeastnafrica","lowermiddle"
"Iraq","IRQ","middleeastnafrica","uppermiddle"
"Ireland","IRL","europecentralasia","high"
"Isle of Man","IMN","europecentralasia","high"
"Israel","ISR","middleeastnafrica","high"
"Italy","ITA","europecentralasia","high"
"Jamaica","JAM","latinamericacaribbean","uppermiddle"
"Japan","JPN","eastasia_pacific","high"
"Jordan","JOR","middleeastnafrica","uppermiddle"
"Kazakhstan","KAZ","europecentralasia","uppermiddle"
"Kenya","KEN","subsaharianafrica","lowermiddle"
"Kiribati","KIR","eastasia_pacific","lowermiddle"
"Korea, Dem. People's Rep.","PRK","eastasia_pacific","low"
"Korea, Rep.","KOR","eastasia_pacific","high"
"Kosovo","XKX","europecentralasia","uppermiddle"
"Kuwait","KWT","middleeastnafrica","high"
"Kyrgyz Republic","KGZ","europecentralasia","lowermiddle"
"Lao PDR","LAO","eastasia_pacific","lowermiddle"
"Latvia","LVA","europecentralasia","high"
"Lebanon","LBN","middleeastnafrica","uppermiddle"
"Lesotho","LSO","subsaharianafrica","lowermiddle"
"Liberia","LBR","subsaharianafrica","low"
"Libya","LBY","middleeastnafrica","uppermiddle"
"Liechtenstein","LIE","europecentralasia","high"
"Lithuania","LTU","europecentralasia","high"
"Luxembourg","LUX","europecentralasia","high"
"Macao SAR, China","MAC","eastasia_pacific","high"
"Madagascar","MDG","subsaharianafrica","low"
"Malawi","MWI","subsaharianafrica","low"
"Malaysia","MYS","eastasia_pacific","uppermiddle"
"Maldives","MDV","southasia","uppermiddle"
"Mali","MLI","subsaharianafrica","low"
"Malta","MLT","middleeastnafrica","high"
"Marshall Islands","MHL","eastasia_pacific","uppermiddle"
"Mauritania","MRT","subsaharianafrica","lowermiddle"
"Mauritius","MUS","subsaharianafrica","uppermiddle"
"Mexico","MEX","latinamericacaribbean","uppermiddle"
"Micronesia, Fed. Sts.","FSM","eastasia_pacific","lowermiddle"
"Moldova","MDA","europecentralasia","uppermiddle"
"Monaco","MCO","europecentralasia","high"
"Mongolia","MNG","eastasia_pacific","lowermiddle"
"Montenegro","MNE","europecentralasia","uppermiddle"
"Morocco","MAR","middleeastnafrica","lowermiddle"
"Mozambique","MOZ","subsaharianafrica","low"
"Myanmar","MMR","eastasia_pacific","lowermiddle"
"Namibia","NAM","subsaharianafrica","uppermiddle"
"Nauru","NRU","eastasia_pacific","high"
"Nepal","NPL","southasia","lowermiddle"
"Netherlands","NLD","europecentralasia","high"
"New Caledonia","NCL","eastasia_pacific","high"
"New Zealand","NZL","eastasia_pacific","high"
"Nicaragua","NIC","latinamericacaribbean","lowermiddle"
"Niger","NER","subsaharianafrica","low"
"Nigeria","NGA","subsaharianafrica","lowermiddle"
"North Macedonia","MKD","europecentralasia","uppermiddle"
"Northern Mariana Islands","MNP","eastasia_pacific","high"
"Norway","NOR","europecentralasia","high"
"Oman","OMN","middleeastnafrica","high"
"Pakistan","PAK","southasia","lowermiddle"
"Palau","PLW","eastasia_pacific","high"
"Panama","PAN","latinamericacaribbean","uppermiddle"
"Papua New Guinea","PNG","eastasia_pacific","lowermiddle"
"Paraguay","PRY","latinamericacaribbean","uppermiddle"
"Peru","PER","latinamericacaribbean","uppermiddle"
"Philippines","PHL","eastasia_pacific","lowermiddle"
"Poland","POL","europecentralasia","high"
"Portugal","PRT","europecentralasia","high"
"Puerto Rico","PRI","latinamericacaribbean","high"
"Qatar","QAT","middleeastnafrica","high"
"Romania","ROU","europecentralasia","uppermiddle"
"Russian Federation","RUS","europecentralasia","uppermiddle"
"Rwanda","RWA","subsaharianafrica","low"
"Samoa","WSM","eastasia_pacific","lowermiddle"
"San Marino","SMR","europecentralasia","high"
"Sao Tome and Principe","STP","subsaharianafrica","lowermiddle"
"Saudi Arabia","SAU","middleeastnafrica","high"
"Senegal","SEN","subsaharianafrica","lowermiddle"
"Serbia","SRB","europecentralasia","uppermiddle"
"Seychelles","SYC","subsaharianafrica","high"
"Sierra Leone","SLE","subsaharianafrica","low"
"Singapore","SGP","eastasia_pacific","high"
"Sint Maarten (Dutch part)","SXM","latinamericacaribbean","high"
"Slovak Republic","SVK","europecentralasia","high"
"Slovenia","SVN","europecentralasia","high"
"Solomon Islands","SLB","eastasia_pacific","lowermiddle"
"Somalia","SOM","subsaharianafrica","low"
"South Africa","ZAF","subsaharianafrica","uppermiddle"
"South Sudan","SSD","subsaharianafrica","low"
"Spain","ESP","europecentralasia","high"
"Sri Lanka","LKA","southasia","lowermiddle"
"St. Kitts and Nevis","KNA","latinamericacaribbean","high"
"St. Lucia","LCA","latinamericacaribbean","uppermiddle"
"St. Martin (French part)","MAF","latinamericacaribbean","high"
"St. Vincent and the Grenadines","VCT","latinamericacaribbean","uppermiddle"
"Sudan","SDN","subsaharianafrica","low"
"Suriname","SUR","latinamericacaribbean","uppermiddle"
"Sweden","SWE","europecentralasia","high"
"Switzerland","CHE","europecentralasia","high"
"Syrian Arab Republic","SYR","middleeastnafrica","low"
"Tajikistan","TJK","europecentralasia","lowermiddle"
"Tanzania","TZA","subsaharianafrica","lowermiddle"
"Thailand","THA","eastasia_pacific","uppermiddle"
"Timor-Leste","TLS","eastasia_pacific","lowermiddle"
"Togo","TGO","subsaharianafrica","low"
"Tonga","TON","eastasia_pacific","uppermiddle"
"Trinidad and Tobago","TTO","latinamericacaribbean","high"
"Tunisia","TUN","middleeastnafrica","lowermiddle"
"Turkey","TUR","europecentralasia","uppermiddle"
"Turkmenistan","TKM","europecentralasia","uppermiddle"
"Turks and Caicos Islands","TCA","latinamericacaribbean","high"
"Tuvalu","TUV","eastasia_pacific","uppermiddle"
"Uganda","UGA","subsaharianafrica","low"
"Ukraine","UKR","europecentralasia","lowermiddle"
"United Arab Emirates","ARE","middleeastnafrica","high"
"United Kingdom","GBR","europecentralasia","high"
"United States","USA","northamerica","high"
"Uruguay","URY","latinamericacaribbean","high"
"Uzbekistan","UZB","europecentralasia","lowermiddle"
"Vanuatu","VUT","eastasia_pacific","lowermiddle"
"Venezuela, RB","VEN","latinamericacaribbean","VEN"
"Vietnam","VNM","eastasia_pacific","lowermiddle"
"Virgin Islands (U.S.)","VIR","latinamericacaribbean","high"
"West Bank and Gaza","PSE","middleeastnafrica","lowermiddle"
"Yemen, Rep.","YEM","middleeastnafrica","low"
"Zambia","ZMB","subsaharianafrica","lowermiddle"
"Zimbabwe","ZWE","subsaharianafrica","lowermiddle"
